Gene,Non-unique Gene name,Annotation,AY077834.1_Sheeppox_virus_NISKHI_1994,MW020571.1_Sheeppox_virus_V104_sheep
group_46,,hypothetical protein,KGOPFGHK_00135,ILJDMEPN_00135
group_45,,27 kDa core protein,KGOPFGHK_00077,ILJDMEPN_00077
L1R,L1R,Protein L1,KGOPFGHK_00057,ILJDMEPN_00057
group_44,,mRNA-decapping protein D10,KGOPFGHK_00083,ILJDMEPN_00083
L4R,L4R,Core protein VP8,KGOPFGHK_00060,ILJDMEPN_00060
group_43,,Protein A32,KGOPFGHK_00117,ILJDMEPN_00117
VLTF1,VLTF1,Late transcription factor 1,KGOPFGHK_00055,ILJDMEPN_00055
group_42,,Protein E8,KGOPFGHK_00035,ILJDMEPN_00035
group_41,,hypothetical protein,KGOPFGHK_00123,ILJDMEPN_00123
group_40,,Soluble interferon gamma receptor B8,KGOPFGHK_00005,ILJDMEPN_00005
I3L,I3L,Protein I3,KGOPFGHK_00042,ILJDMEPN_00042
group_39,,mRNA-capping enzyme regulatory subunit,KGOPFGHK_00085,ILJDMEPN_00085
group_38,,hypothetical protein,KGOPFGHK_00121,ILJDMEPN_00121
VITF3S,VITF3S,Intermediate transcription factor 3 small subunit,KGOPFGHK_00095,ILJDMEPN_00095
group_37,,hypothetical protein,KGOPFGHK_00124,ILJDMEPN_00124
group_36,,hypothetical protein,KGOPFGHK_00138,ILJDMEPN_00138
group_35,,DNA-directed RNA polymerase 35 kDa subunit,KGOPFGHK_00114,ILJDMEPN_00114
VPK1,VPK1,B1 kinase,KGOPFGHK_00134,ILJDMEPN_00134
group_34,,Telomere-binding protein I1,KGOPFGHK_00040,ILJDMEPN_00040
group_33,,Protein A11,KGOPFGHK_00098,ILJDMEPN_00098
TOP1,TOP1,DNA topoisomerase 1B,KGOPFGHK_00073,ILJDMEPN_00073
group_32,,Protein L3,KGOPFGHK_00059,ILJDMEPN_00059
F4L,F4L,Ribonucleoside-diphosphate reductase small chain,KGOPFGHK_00016,ILJDMEPN_00016
H3L,H3L,Envelope protein H3,KGOPFGHK_00070,ILJDMEPN_00070
PAPS,PAPS,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase,KGOPFGHK_00065,ILJDMEPN_00065
group_31,,hypothetical protein,KGOPFGHK_00132,ILJDMEPN_00132
SERP2,SERP2,Serine proteinase inhibitor 2,KGOPFGHK_00146,ILJDMEPN_00146
group_30,,Myristoylated protein G9,KGOPFGHK_00056,ILJDMEPN_00056
group_29,,hypothetical protein,KGOPFGHK_00004,ILJDMEPN_00004
group_28,,Soluble interferon alpha/beta receptor B18,KGOPFGHK_00131,ILJDMEPN_00131
group_27,,Envelope phospholipase F13,KGOPFGHK_00024,ILJDMEPN_00024
group_26,,Ankyrin repeat domain-containing protein M-T5,KGOPFGHK_00141,ILJDMEPN_00141
group_25,,Assembly protein G7,KGOPFGHK_00054,ILJDMEPN_00054
group_24,,hypothetical protein,KGOPFGHK_00008,ILJDMEPN_00008
A6L,A6L,Protein A6,KGOPFGHK_00093,ILJDMEPN_00093
group_23,,Virion membrane protein A16,KGOPFGHK_00103,ILJDMEPN_00103
group_22,,hypothetical protein,KGOPFGHK_00033,ILJDMEPN_00033
VITF3L,VITF3L,Intermediate transcription factor 3 large subunit,KGOPFGHK_00110,ILJDMEPN_00110
group_21,,Telomere-binding protein I6,KGOPFGHK_00044,ILJDMEPN_00044
group_20,,Envelope phospholipase F13,KGOPFGHK_00142,ILJDMEPN_00142
group_19,,DNA polymerase processivity factor component A20,KGOPFGHK_00108,ILJDMEPN_00108
group_18,,Core protease I7,KGOPFGHK_00045,ILJDMEPN_00045
G5R,G5R,Putative nuclease G5,KGOPFGHK_00051,ILJDMEPN_00051
VPK2,VPK2,Serine/threonine-protein kinase 2,KGOPFGHK_00021,ILJDMEPN_00021
PAPL,PAPL,Poly(A) polymerase catalytic subunit,KGOPFGHK_00029,ILJDMEPN_00029
group_17,,Transcript termination protein A18,KGOPFGHK_00105,ILJDMEPN_00105
group_16,,Ankyrin repeat domain-containing protein M-T5,KGOPFGHK_00149,ILJDMEPN_00149
group_15,,Ankyrin repeat domain-containing protein M-T5,KGOPFGHK_00143,ILJDMEPN_00143
group_14,,Scaffold protein D13,KGOPFGHK_00086,ILJDMEPN_00086
KBTB1_2,KBTB1_2,Kelch repeat and BTB domain-containing protein A55,KGOPFGHK_00148,ILJDMEPN_00148
LIG,LIG,DNA ligase,KGOPFGHK_00129,ILJDMEPN_00129
group_13,,Protein E6,KGOPFGHK_00034,ILJDMEPN_00034
group_12,,Kelch repeat protein F3,KGOPFGHK_00015,ILJDMEPN_00015
group_11,,Metalloendopeptidase G1,KGOPFGHK_00047,ILJDMEPN_00047
NPH1,NPH1,Nucleoside triphosphatase I,KGOPFGHK_00084,ILJDMEPN_00084
VETFS,VETFS,Early transcription factor 70 kDa subunit,KGOPFGHK_00080,ILJDMEPN_00080
group_10,,Protein F12,KGOPFGHK_00023,ILJDMEPN_00023
group_9,,Major core protein 4b,KGOPFGHK_00090,ILJDMEPN_00090
NPH2,NPH2,RNA helicase NPH-II,KGOPFGHK_00046,ILJDMEPN_00046
group_8,,hypothetical protein,KGOPFGHK_00039,ILJDMEPN_00039
VETFL,VETFL,Early transcription factor 82 kDa subunit,KGOPFGHK_00094,ILJDMEPN_00094
group_7,,Protein E2,KGOPFGHK_00030,ILJDMEPN_00030
group_6,,Primase D5,KGOPFGHK_00079,ILJDMEPN_00079
group_5,,RNA polymerase-associated transcription-specificity factor RAP94,KGOPFGHK_00071,ILJDMEPN_00071
group_4,,mRNA-capping enzyme catalytic subunit,KGOPFGHK_00075,ILJDMEPN_00075
group_3,,Major core protein 4a precursor,KGOPFGHK_00097,ILJDMEPN_00097
POL,POL,DNA polymerase,KGOPFGHK_00036,ILJDMEPN_00036
group_2,,DNA-directed RNA polymerase 133 kDa polypeptide,KGOPFGHK_00111,ILJDMEPN_00111
group_1,,hypothetical protein,KGOPFGHK_00067,ILJDMEPN_00067
group_0,,hypothetical protein,KGOPFGHK_00130,ILJDMEPN_00130
