locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMKJIMAI_00102	CDS	204				hypothetical protein
AMKJIMAI_00103	CDS	288				Virion membrane protein A14
AMKJIMAI_00104	CDS	288				Core protein A15
AMKJIMAI_00105	CDS	1134				Virion membrane protein A16
AMKJIMAI_00106	CDS	591				Virion membrane protein A17 precursor
AMKJIMAI_00107	CDS	1443		3.6.4.-		Transcript termination protein A18
AMKJIMAI_00108	CDS	225				Protein A19
AMKJIMAI_00109	CDS	159				hypothetical protein
AMKJIMAI_00110	CDS	1293				DNA polymerase processivity factor component A20
AMKJIMAI_00111	CDS	540		3.1.-.-		Resolvase A22
AMKJIMAI_00112	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
AMKJIMAI_00113	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
AMKJIMAI_00114	CDS	447				hypothetical protein
AMKJIMAI_00115	CDS	423				Envelope protein A28
AMKJIMAI_00116	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
AMKJIMAI_00117	CDS	225				hypothetical protein
AMKJIMAI_00118	CDS	126				hypothetical protein
AMKJIMAI_00119	CDS	765				Protein A32
AMKJIMAI_00120	CDS	591				Protein A33
AMKJIMAI_00121	CDS	516				Protein A34
AMKJIMAI_00122	CDS	576				Protein A35
AMKJIMAI_00123	CDS	867				hypothetical protein
AMKJIMAI_00124	CDS	546				hypothetical protein
AMKJIMAI_00125	CDS	822				hypothetical protein
AMKJIMAI_00126	CDS	903				hypothetical protein
AMKJIMAI_00127	CDS	372				hypothetical protein
AMKJIMAI_00128	CDS	246				hypothetical protein
AMKJIMAI_00129	CDS	486				hypothetical protein
AMKJIMAI_00130	CDS	450				hypothetical protein
AMKJIMAI_00131	CDS	1674	LIG	6.5.1.1		DNA ligase
AMKJIMAI_00132	CDS	5955				hypothetical protein
AMKJIMAI_00133	CDS	1083				Soluble interferon alpha/beta receptor B18
AMKJIMAI_00134	CDS	462				hypothetical protein
AMKJIMAI_00135	CDS	1008				hypothetical protein
AMKJIMAI_00136	CDS	561				hypothetical protein
AMKJIMAI_00137	CDS	918	VPK1	2.7.11.1		B1 kinase
AMKJIMAI_00138	CDS	723				hypothetical protein
AMKJIMAI_00139	CDS	678	PS/HR			Protein B5
AMKJIMAI_00140	CDS	399				hypothetical protein
AMKJIMAI_00141	CDS	909				hypothetical protein
AMKJIMAI_00142	CDS	1644	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
AMKJIMAI_00143	CDS	1905				hypothetical protein
AMKJIMAI_00144	CDS	1239		3.1.1.-		Envelope phospholipase F13
AMKJIMAI_00145	CDS	1497				Ankyrin repeat domain-containing protein M-T5
AMKJIMAI_00146	CDS	1344				Ankyrin repeat domain-containing protein M-T5
AMKJIMAI_00147	CDS	1014	SERP2			Serine proteinase inhibitor 2
AMKJIMAI_00148	CDS	486				hypothetical protein
AMKJIMAI_00149	CDS	1650	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
AMKJIMAI_00150	CDS	1470				Ankyrin repeat domain-containing protein M-T5
AMKJIMAI_00151	CDS	276				hypothetical protein
AMKJIMAI_00152	CDS	723				hypothetical protein
