locus_tag	ftype	length_bp	gene	EC_number	COG	product
KKOFEBLE_00039	CDS	2055				hypothetical protein
KKOFEBLE_00040	CDS	945				Telomere-binding protein I1
KKOFEBLE_00041	CDS	216				hypothetical protein
KKOFEBLE_00042	CDS	831	I3L			Protein I3
KKOFEBLE_00043	CDS	237				Protein I5
KKOFEBLE_00044	CDS	1185				Telomere-binding protein I6
KKOFEBLE_00045	CDS	1302		3.4.22.-		Core protease I7
KKOFEBLE_00046	CDS	2031	NPH2	3.6.4.13		RNA helicase NPH-II
KKOFEBLE_00047	CDS	1788		3.4.24.-		Metalloendopeptidase G1
KKOFEBLE_00048	CDS	246				Protein G3
KKOFEBLE_00049	CDS	669				Late transcription elongation factor G2
KKOFEBLE_00050	CDS	381				Glutaredoxin-2
KKOFEBLE_00051	CDS	1314	G5R	3.1.-.-		Putative nuclease G5
KKOFEBLE_00052	CDS	192	RPO7	2.7.7.6		DNA-directed RNA polymerase 7 kDa subunit
KKOFEBLE_00053	CDS	525				hypothetical protein
KKOFEBLE_00054	CDS	1122				Assembly protein G7
KKOFEBLE_00055	CDS	783	VLTF1			Late transcription factor 1
KKOFEBLE_00056	CDS	1011				Myristoylated protein G9
KKOFEBLE_00057	CDS	738	L1R			Protein L1
KKOFEBLE_00058	CDS	279				Protein L2
KKOFEBLE_00059	CDS	957				Protein L3
KKOFEBLE_00060	CDS	762	L4R			Core protein VP8
KKOFEBLE_00061	CDS	396				Protein L5
KKOFEBLE_00062	CDS	444				Protein J1 
KKOFEBLE_00063	CDS	534	TK	2.7.1.21		Thymidine kinase
KKOFEBLE_00064	CDS	591				hypothetical protein
KKOFEBLE_00065	CDS	1002	PAPS	2.1.1.57		Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
KKOFEBLE_00066	CDS	402				Protein J5
KKOFEBLE_00067	CDS	3858				hypothetical protein
KKOFEBLE_00068	CDS	516		3.1.3.-		putative dual specificity protein phosphatase H1 
KKOFEBLE_00069	CDS	573				Protein H2
KKOFEBLE_00070	CDS	969	H3L			Envelope protein H3
KKOFEBLE_00071	CDS	2397				RNA polymerase-associated transcription-specificity factor RAP94
KKOFEBLE_00072	CDS	723				Late transcription elongation factor H5
KKOFEBLE_00073	CDS	954	TOP1	5.6.2.1		DNA topoisomerase 1B
KKOFEBLE_00074	CDS	444	H7R			Late protein H7
KKOFEBLE_00075	CDS	2529				mRNA-capping enzyme catalytic subunit
KKOFEBLE_00076	CDS	468	D4L			Core protein D4
KKOFEBLE_00077	CDS	738				27 kDa core protein
KKOFEBLE_00078	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
KKOFEBLE_00079	CDS	2361		3.6.4.-		Primase D5
KKOFEBLE_00080	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
KKOFEBLE_00081	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
KKOFEBLE_00082	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
KKOFEBLE_00083	CDS	762		3.1.3.-		mRNA-decapping protein D10
KKOFEBLE_00084	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
KKOFEBLE_00085	CDS	864				mRNA-capping enzyme regulatory subunit
KKOFEBLE_00086	CDS	1650				Scaffold protein D13
KKOFEBLE_00087	CDS	453	VLTF2			Viral late gene transcription factor 2
KKOFEBLE_00088	CDS	684	VLTF3			Viral late gene transcription factor 3
KKOFEBLE_00089	CDS	228				Protein A2.5
KKOFEBLE_00090	CDS	1983				Major core protein 4b
KKOFEBLE_00091	CDS	486				hypothetical protein
KKOFEBLE_00092	CDS	504		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
KKOFEBLE_00093	CDS	1128	A6L			Protein A6
KKOFEBLE_00094	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
KKOFEBLE_00095	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
KKOFEBLE_00096	CDS	237				Virion membrane protein A9
KKOFEBLE_00097	CDS	2715				Major core protein 4a precursor
KKOFEBLE_00098	CDS	954				Protein A11
KKOFEBLE_00099	CDS	573				25 kDa core protein A12L
KKOFEBLE_00100	CDS	204				hypothetical protein
KKOFEBLE_00101	CDS	288				Virion membrane protein A14
KKOFEBLE_00102	CDS	288				Core protein A15
KKOFEBLE_00103	CDS	1134				Virion membrane protein A16
KKOFEBLE_00104	CDS	585				Virion membrane protein A17 precursor
KKOFEBLE_00105	CDS	1443		3.6.4.-		Transcript termination protein A18
KKOFEBLE_00106	CDS	225				Protein A19
KKOFEBLE_00107	CDS	159				hypothetical protein
KKOFEBLE_00108	CDS	1293				DNA polymerase processivity factor component A20
KKOFEBLE_00109	CDS	540		3.1.-.-		Resolvase A22
KKOFEBLE_00110	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
KKOFEBLE_00111	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
KKOFEBLE_00112	CDS	447				hypothetical protein
KKOFEBLE_00113	CDS	423				Envelope protein A28
KKOFEBLE_00114	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
KKOFEBLE_00115	CDS	225				hypothetical protein
KKOFEBLE_00116	CDS	126				hypothetical protein
KKOFEBLE_00117	CDS	765				Protein A32
KKOFEBLE_00118	CDS	594				Protein A33
KKOFEBLE_00119	CDS	516				Protein A34
KKOFEBLE_00120	CDS	576				Protein A35
KKOFEBLE_00121	CDS	867				hypothetical protein
KKOFEBLE_00122	CDS	519				hypothetical protein
KKOFEBLE_00123	CDS	822				hypothetical protein
KKOFEBLE_00124	CDS	903				hypothetical protein
KKOFEBLE_00125	CDS	351				hypothetical protein
KKOFEBLE_00126	CDS	246				hypothetical protein
KKOFEBLE_00127	CDS	486				hypothetical protein
KKOFEBLE_00128	CDS	135				hypothetical protein
KKOFEBLE_00129	CDS	1674	LIG	6.5.1.1		DNA ligase
KKOFEBLE_00130	CDS	6024				hypothetical protein
KKOFEBLE_00131	CDS	1083				Soluble interferon alpha/beta receptor B18
KKOFEBLE_00132	CDS	273				hypothetical protein
KKOFEBLE_00133	CDS	1008				hypothetical protein
KKOFEBLE_00134	CDS	561				hypothetical protein
KKOFEBLE_00135	CDS	918	VPK1	2.7.11.1		B1 kinase
KKOFEBLE_00136	CDS	723				hypothetical protein
KKOFEBLE_00137	CDS	678				hypothetical protein
KKOFEBLE_00138	CDS	408				hypothetical protein
KKOFEBLE_00139	CDS	909				hypothetical protein
KKOFEBLE_00140	CDS	1644	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
KKOFEBLE_00141	CDS	1926				hypothetical protein
KKOFEBLE_00142	CDS	1239		3.1.1.-		Envelope phospholipase F13
KKOFEBLE_00143	CDS	1497				Ankyrin repeat domain-containing protein M-T5
KKOFEBLE_00144	CDS	1344				Ankyrin repeat domain-containing protein M-T5
KKOFEBLE_00145	CDS	1014	SERP2			Serine proteinase inhibitor 2
KKOFEBLE_00146	CDS	486				hypothetical protein
KKOFEBLE_00147	CDS	1659	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
KKOFEBLE_00148	CDS	1362				Ankyrin repeat domain-containing protein M-T5
KKOFEBLE_00149	CDS	723				hypothetical protein
