locus_tag	ftype	length_bp	gene	EC_number	COG	product
LPLCCJCO_00094	CDS	1128	A6L			Protein A6
LPLCCJCO_00095	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
LPLCCJCO_00096	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
LPLCCJCO_00097	CDS	237				Virion membrane protein A9
LPLCCJCO_00098	CDS	2715				Major core protein 4a precursor
LPLCCJCO_00099	CDS	954				Protein A11
LPLCCJCO_00100	CDS	573				25 kDa core protein A12L
LPLCCJCO_00101	CDS	204				hypothetical protein
LPLCCJCO_00102	CDS	288				Virion membrane protein A14
LPLCCJCO_00103	CDS	288				Core protein A15
LPLCCJCO_00104	CDS	1134				Virion membrane protein A16
LPLCCJCO_00105	CDS	585				Virion membrane protein A17 precursor
LPLCCJCO_00106	CDS	1443		3.6.4.-		Transcript termination protein A18
LPLCCJCO_00107	CDS	225				Protein A19
LPLCCJCO_00108	CDS	159				hypothetical protein
LPLCCJCO_00109	CDS	1293				DNA polymerase processivity factor component A20
LPLCCJCO_00110	CDS	540		3.1.-.-		Resolvase A22
LPLCCJCO_00111	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
LPLCCJCO_00112	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
LPLCCJCO_00113	CDS	447				hypothetical protein
LPLCCJCO_00114	CDS	423				Envelope protein A28
LPLCCJCO_00115	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
LPLCCJCO_00116	CDS	225				hypothetical protein
LPLCCJCO_00117	CDS	126				hypothetical protein
LPLCCJCO_00118	CDS	765				Protein A32
LPLCCJCO_00119	CDS	594				Protein A33
LPLCCJCO_00120	CDS	516				Protein A34
LPLCCJCO_00121	CDS	576				Protein A35
LPLCCJCO_00122	CDS	867				hypothetical protein
LPLCCJCO_00123	CDS	519				hypothetical protein
LPLCCJCO_00124	CDS	822				hypothetical protein
LPLCCJCO_00125	CDS	903				hypothetical protein
LPLCCJCO_00126	CDS	351				hypothetical protein
LPLCCJCO_00127	CDS	246				hypothetical protein
LPLCCJCO_00128	CDS	486				hypothetical protein
LPLCCJCO_00129	CDS	135				hypothetical protein
LPLCCJCO_00130	CDS	1674	LIG	6.5.1.1		DNA ligase
LPLCCJCO_00131	CDS	2118				hypothetical protein
LPLCCJCO_00132	CDS	3729				hypothetical protein
LPLCCJCO_00133	CDS	1083				Soluble interferon alpha/beta receptor B18
LPLCCJCO_00134	CDS	273				hypothetical protein
LPLCCJCO_00135	CDS	1008				hypothetical protein
LPLCCJCO_00136	CDS	561				hypothetical protein
LPLCCJCO_00137	CDS	918	VPK1	2.7.11.1		B1 kinase
LPLCCJCO_00138	CDS	723				hypothetical protein
LPLCCJCO_00139	CDS	678				hypothetical protein
LPLCCJCO_00140	CDS	408				hypothetical protein
LPLCCJCO_00141	CDS	909				hypothetical protein
LPLCCJCO_00142	CDS	1665	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
LPLCCJCO_00143	CDS	1926				hypothetical protein
LPLCCJCO_00144	CDS	1239		3.1.1.-		Envelope phospholipase F13
LPLCCJCO_00145	CDS	1497				Ankyrin repeat domain-containing protein M-T5
LPLCCJCO_00146	CDS	1344				Ankyrin repeat domain-containing protein M-T5
LPLCCJCO_00147	CDS	1014	SERP2			Serine proteinase inhibitor 2
LPLCCJCO_00148	CDS	486				hypothetical protein
LPLCCJCO_00149	CDS	1659	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
LPLCCJCO_00150	CDS	1362				Ankyrin repeat domain-containing protein M-T5
LPLCCJCO_00151	CDS	723				hypothetical protein
