locus_tag	ftype	length_bp	gene	EC_number	COG	product
JCHOPBNJ_00079	CDS	738				27 kDa core protein
JCHOPBNJ_00080	CDS	657	UNG	3.2.2.27		Uracil-DNA glycosylase
JCHOPBNJ_00081	CDS	2361		3.6.4.-		Primase D5
JCHOPBNJ_00082	CDS	1908	VETFS	3.6.4.-		Early transcription factor 70 kDa subunit
JCHOPBNJ_00083	CDS	492		2.7.7.6		DNA-directed RNA polymerase 18 kDa subunit
JCHOPBNJ_00084	CDS	642	D9R	3.1.3.-		mRNA-decapping protein D9
JCHOPBNJ_00085	CDS	762		3.1.3.-		mRNA-decapping protein D10
JCHOPBNJ_00086	CDS	1908	NPH1	3.6.1.15		Nucleoside triphosphatase I
JCHOPBNJ_00087	CDS	864				mRNA-capping enzyme regulatory subunit
JCHOPBNJ_00088	CDS	1650				Scaffold protein D13
JCHOPBNJ_00089	CDS	453	VLTF2			Viral late gene transcription factor 2
JCHOPBNJ_00090	CDS	684	VLTF3			Viral late gene transcription factor 3
JCHOPBNJ_00091	CDS	228				Protein A2.5
JCHOPBNJ_00092	CDS	1986				Major core protein 4b
JCHOPBNJ_00093	CDS	486				hypothetical protein
JCHOPBNJ_00094	CDS	513		2.7.7.6		DNA-directed RNA polymerase 19 kDa subunit
JCHOPBNJ_00095	CDS	1128	A6L			Protein A6
JCHOPBNJ_00096	CDS	2145	VETFL			Early transcription factor 82 kDa subunit
JCHOPBNJ_00097	CDS	873	VITF3S			Intermediate transcription factor 3 small subunit
JCHOPBNJ_00098	CDS	237				Virion membrane protein A9
JCHOPBNJ_00099	CDS	2715				Major core protein 4a precursor
JCHOPBNJ_00100	CDS	954				Protein A11
JCHOPBNJ_00101	CDS	573				25 kDa core protein A12L
JCHOPBNJ_00102	CDS	204				hypothetical protein
JCHOPBNJ_00103	CDS	288				Virion membrane protein A14
JCHOPBNJ_00104	CDS	288				Core protein A15
JCHOPBNJ_00105	CDS	1134				Virion membrane protein A16
JCHOPBNJ_00106	CDS	591				Virion membrane protein A17 precursor
JCHOPBNJ_00107	CDS	1443		3.6.4.-		Transcript termination protein A18
JCHOPBNJ_00108	CDS	225				Protein A19
JCHOPBNJ_00109	CDS	159				hypothetical protein
JCHOPBNJ_00110	CDS	1293				DNA polymerase processivity factor component A20
JCHOPBNJ_00111	CDS	540		3.1.-.-		Resolvase A22
JCHOPBNJ_00112	CDS	1158	VITF3L			Intermediate transcription factor 3 large subunit
JCHOPBNJ_00113	CDS	3471		2.7.7.6		DNA-directed RNA polymerase 133 kDa polypeptide
JCHOPBNJ_00114	CDS	447				hypothetical protein
JCHOPBNJ_00115	CDS	423				Envelope protein A28
JCHOPBNJ_00116	CDS	912		2.7.7.6		DNA-directed RNA polymerase 35 kDa subunit
JCHOPBNJ_00117	CDS	225				hypothetical protein
JCHOPBNJ_00118	CDS	126				hypothetical protein
JCHOPBNJ_00119	CDS	765				Protein A32
JCHOPBNJ_00120	CDS	591				Protein A33
JCHOPBNJ_00121	CDS	516				Protein A34
JCHOPBNJ_00122	CDS	576				Protein A35
JCHOPBNJ_00123	CDS	867				hypothetical protein
JCHOPBNJ_00124	CDS	519				hypothetical protein
JCHOPBNJ_00125	CDS	822				hypothetical protein
JCHOPBNJ_00126	CDS	903				hypothetical protein
JCHOPBNJ_00127	CDS	372				hypothetical protein
JCHOPBNJ_00128	CDS	246				hypothetical protein
JCHOPBNJ_00129	CDS	486				hypothetical protein
JCHOPBNJ_00130	CDS	450				hypothetical protein
JCHOPBNJ_00131	CDS	1674	LIG	6.5.1.1		DNA ligase
JCHOPBNJ_00132	CDS	5955				hypothetical protein
JCHOPBNJ_00133	CDS	1083				Soluble interferon alpha/beta receptor B18
JCHOPBNJ_00134	CDS	462				hypothetical protein
JCHOPBNJ_00135	CDS	1008				hypothetical protein
JCHOPBNJ_00136	CDS	561				hypothetical protein
JCHOPBNJ_00137	CDS	918	VPK1	2.7.11.1		B1 kinase
JCHOPBNJ_00138	CDS	723				hypothetical protein
JCHOPBNJ_00139	CDS	678	PS/HR			Protein B5
JCHOPBNJ_00140	CDS	399				hypothetical protein
JCHOPBNJ_00141	CDS	909				hypothetical protein
JCHOPBNJ_00142	CDS	1653	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
JCHOPBNJ_00143	CDS	1905				hypothetical protein
JCHOPBNJ_00144	CDS	1239		3.1.1.-		Envelope phospholipase F13
JCHOPBNJ_00145	CDS	1497				Ankyrin repeat domain-containing protein M-T5
JCHOPBNJ_00146	CDS	1344				Ankyrin repeat domain-containing protein M-T5
JCHOPBNJ_00147	CDS	1014	SERP2			Serine proteinase inhibitor 2
JCHOPBNJ_00148	CDS	486				hypothetical protein
JCHOPBNJ_00149	CDS	1650	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
JCHOPBNJ_00150	CDS	1470				Ankyrin repeat domain-containing protein M-T5
JCHOPBNJ_00151	CDS	276				hypothetical protein
JCHOPBNJ_00152	CDS	723				hypothetical protein
