Gene,Non-unique Gene name,Annotation,MN072619.1_Kenya_cattle,NC_003027.1_NI_2490_Kenya_1958,OM984485.1_XJ201901_China_2019_bovine,OQ511520.1_Thailand_Trang_2022_2022,OR567413.1_Jiling_2022_China_Dec_2022
group_99,,hypothetical protein,EJCKHNBG_00135,NMOBLELM_00135,AMKJIMAI_00136,JCHOPBNJ_00136,FMHLFHII_00136
group_98,,hypothetical protein,EJCKHNBG_00133,NMOBLELM_00133,AMKJIMAI_00134,JCHOPBNJ_00134,FMHLFHII_00134
group_97,,hypothetical protein,EJCKHNBG_00026,NMOBLELM_00026,AMKJIMAI_00027,JCHOPBNJ_00027,FMHLFHII_00027
group_96,,Resolvase A22,EJCKHNBG_00110,NMOBLELM_00110,AMKJIMAI_00111,JCHOPBNJ_00111,FMHLFHII_00111
E3L,E3L,Protein E3,EJCKHNBG_00032,NMOBLELM_00032,AMKJIMAI_00033,JCHOPBNJ_00033,FMHLFHII_00033
group_95,,hypothetical protein,EJCKHNBG_00151,NMOBLELM_00151,AMKJIMAI_00152,JCHOPBNJ_00152,FMHLFHII_00152
group_94,,hypothetical protein,EJCKHNBG_00001,NMOBLELM_00001,AMKJIMAI_00001,JCHOPBNJ_00001,FMHLFHII_00001
group_93,,hypothetical protein,EJCKHNBG_00117,NMOBLELM_00117,AMKJIMAI_00118,JCHOPBNJ_00118,FMHLFHII_00118
group_92,,hypothetical protein,EJCKHNBG_00108,NMOBLELM_00108,AMKJIMAI_00109,JCHOPBNJ_00109,FMHLFHII_00109
RPO7,RPO7,DNA-directed RNA polymerase 7 kDa subunit,EJCKHNBG_00053,NMOBLELM_00053,AMKJIMAI_00054,JCHOPBNJ_00054,FMHLFHII_00054
group_91,,hypothetical protein,EJCKHNBG_00101,NMOBLELM_00101,AMKJIMAI_00102,JCHOPBNJ_00102,FMHLFHII_00102
group_90,,hypothetical protein,EJCKHNBG_00042,NMOBLELM_00042,AMKJIMAI_00043,JCHOPBNJ_00043,FMHLFHII_00043
group_89,,hypothetical protein,EJCKHNBG_00020,NMOBLELM_00020,AMKJIMAI_00021,JCHOPBNJ_00021,FMHLFHII_00021
group_88,,hypothetical protein,EJCKHNBG_00116,NMOBLELM_00116,AMKJIMAI_00117,JCHOPBNJ_00117,FMHLFHII_00117
group_87,,Protein A19,EJCKHNBG_00107,NMOBLELM_00107,AMKJIMAI_00108,JCHOPBNJ_00108,FMHLFHII_00108
group_86,,Protein A2.5,EJCKHNBG_00090,NMOBLELM_00090,AMKJIMAI_00091,JCHOPBNJ_00091,FMHLFHII_00091
group_85,,Virion membrane protein A9,EJCKHNBG_00097,NMOBLELM_00097,AMKJIMAI_00098,JCHOPBNJ_00098,FMHLFHII_00098
group_84,,Protein I5,EJCKHNBG_00044,NMOBLELM_00044,AMKJIMAI_00045,JCHOPBNJ_00045,FMHLFHII_00045
group_83,,Protein G3,EJCKHNBG_00049,NMOBLELM_00049,AMKJIMAI_00050,JCHOPBNJ_00050,FMHLFHII_00050
group_82,,hypothetical protein,EJCKHNBG_00013,NMOBLELM_00013,AMKJIMAI_00013,JCHOPBNJ_00013,FMHLFHII_00013
group_81,,Protein K3,EJCKHNBG_00011,NMOBLELM_00011,AMKJIMAI_00011,JCHOPBNJ_00011,FMHLFHII_00011
group_80,,hypothetical protein,EJCKHNBG_00150,NMOBLELM_00150,AMKJIMAI_00151,JCHOPBNJ_00151,FMHLFHII_00151
group_79,,Core protein A15,EJCKHNBG_00103,NMOBLELM_00103,AMKJIMAI_00104,JCHOPBNJ_00104,FMHLFHII_00104
group_78,,Virion membrane protein A14,EJCKHNBG_00102,NMOBLELM_00102,AMKJIMAI_00103,JCHOPBNJ_00103,FMHLFHII_00103
group_77,,putative FAD-linked sulfhydryl oxidase E10,EJCKHNBG_00038,NMOBLELM_00038,AMKJIMAI_00039,JCHOPBNJ_00039,FMHLFHII_00039
group_76,,Phosphoprotein F17,EJCKHNBG_00029,NMOBLELM_00029,AMKJIMAI_00030,JCHOPBNJ_00030,FMHLFHII_00030
group_75,,Glutaredoxin-2,EJCKHNBG_00051,NMOBLELM_00051,AMKJIMAI_00052,JCHOPBNJ_00052,FMHLFHII_00052
group_74,,Protein E11,EJCKHNBG_00039,NMOBLELM_00039,AMKJIMAI_00040,JCHOPBNJ_00040,FMHLFHII_00040
group_73,,Protein J5,EJCKHNBG_00067,NMOBLELM_00067,AMKJIMAI_00068,JCHOPBNJ_00068,FMHLFHII_00068
group_72,,hypothetical protein,EJCKHNBG_00139,NMOBLELM_00139,AMKJIMAI_00140,JCHOPBNJ_00140,FMHLFHII_00140
group_71,,Envelope protein A28,EJCKHNBG_00114,NMOBLELM_00114,AMKJIMAI_00115,JCHOPBNJ_00115,FMHLFHII_00115
group_70,,hypothetical protein,EJCKHNBG_00027,NMOBLELM_00027,AMKJIMAI_00028,JCHOPBNJ_00028,FMHLFHII_00028
DUT,DUT,Deoxyuridine 5'-triphosphate nucleotidohydrolase,EJCKHNBG_00015,NMOBLELM_00015,AMKJIMAI_00015,JCHOPBNJ_00015,FMHLFHII_00015
H7R,H7R,Late protein H7,EJCKHNBG_00075,NMOBLELM_00075,AMKJIMAI_00076,JCHOPBNJ_00076,FMHLFHII_00076
group_69,,Protein J1,EJCKHNBG_00063,NMOBLELM_00063,AMKJIMAI_00064,JCHOPBNJ_00064,FMHLFHII_00064
group_68,,hypothetical protein,EJCKHNBG_00113,NMOBLELM_00113,AMKJIMAI_00114,JCHOPBNJ_00114,FMHLFHII_00114
VLTF2,VLTF2,Viral late gene transcription factor 2,EJCKHNBG_00088,NMOBLELM_00088,AMKJIMAI_00089,JCHOPBNJ_00089,FMHLFHII_00089
D4L,D4L,Core protein D4,EJCKHNBG_00077,NMOBLELM_00077,AMKJIMAI_00078,JCHOPBNJ_00078,FMHLFHII_00078
group_67,,hypothetical protein,EJCKHNBG_00147,NMOBLELM_00147,AMKJIMAI_00148,JCHOPBNJ_00148,FMHLFHII_00148
group_66,,hypothetical protein,EJCKHNBG_00128,NMOBLELM_00128,AMKJIMAI_00129,JCHOPBNJ_00129,FMHLFHII_00129
group_65,,hypothetical protein,EJCKHNBG_00092,NMOBLELM_00092,AMKJIMAI_00093,JCHOPBNJ_00093,FMHLFHII_00093
group_64,,hypothetical protein,EJCKHNBG_00012,NMOBLELM_00012,AMKJIMAI_00012,JCHOPBNJ_00012,FMHLFHII_00012
group_63,,DNA-directed RNA polymerase 18 kDa subunit,EJCKHNBG_00082,NMOBLELM_00082,AMKJIMAI_00083,JCHOPBNJ_00083,FMHLFHII_00083
group_62,,DNA-directed RNA polymerase 19 kDa subunit,EJCKHNBG_00093,NMOBLELM_00093,AMKJIMAI_00094,JCHOPBNJ_00094,FMHLFHII_00094
BCRF1,BCRF1,Viral interleukin-10,EJCKHNBG_00002,NMOBLELM_00002,AMKJIMAI_00002,JCHOPBNJ_00002,FMHLFHII_00002
group_61,,Protein A34,EJCKHNBG_00120,NMOBLELM_00120,AMKJIMAI_00121,JCHOPBNJ_00121,FMHLFHII_00121
group_60,,putative dual specificity protein phosphatase H1,EJCKHNBG_00069,NMOBLELM_00069,AMKJIMAI_00070,JCHOPBNJ_00070,FMHLFHII_00070
group_59,,hypothetical protein,EJCKHNBG_00054,NMOBLELM_00054,AMKJIMAI_00055,JCHOPBNJ_00055,FMHLFHII_00055
TK,TK,Thymidine kinase,EJCKHNBG_00064,NMOBLELM_00064,AMKJIMAI_00065,JCHOPBNJ_00065,FMHLFHII_00065
group_58,,25 kDa core protein A12L,EJCKHNBG_00100,NMOBLELM_00100,AMKJIMAI_00101,JCHOPBNJ_00101,FMHLFHII_00101
group_57,,Protein H2,EJCKHNBG_00070,NMOBLELM_00070,AMKJIMAI_00071,JCHOPBNJ_00071,FMHLFHII_00071
group_56,,Protein A35,EJCKHNBG_00121,NMOBLELM_00121,AMKJIMAI_00122,JCHOPBNJ_00122,FMHLFHII_00122
group_55,,Protein A33,EJCKHNBG_00119,NMOBLELM_00119,AMKJIMAI_00120,JCHOPBNJ_00120,FMHLFHII_00120
group_54,,Virion membrane protein A17 precursor,EJCKHNBG_00105,NMOBLELM_00105,AMKJIMAI_00106,JCHOPBNJ_00106,FMHLFHII_00106
group_53,,hypothetical protein,EJCKHNBG_00065,NMOBLELM_00065,AMKJIMAI_00066,JCHOPBNJ_00066,FMHLFHII_00066
group_52,,hypothetical protein,EJCKHNBG_00033,NMOBLELM_00033,AMKJIMAI_00034,JCHOPBNJ_00034,FMHLFHII_00034
group_51,,hypothetical protein,EJCKHNBG_00009,NMOBLELM_00009,AMKJIMAI_00009,JCHOPBNJ_00009,FMHLFHII_00009
D9R,D9R,mRNA-decapping protein D9,EJCKHNBG_00083,NMOBLELM_00083,AMKJIMAI_00084,JCHOPBNJ_00084,FMHLFHII_00084
group_50,,Protein F9,EJCKHNBG_00021,NMOBLELM_00021,AMKJIMAI_00022,JCHOPBNJ_00022,FMHLFHII_00022
UNG,UNG,Uracil-DNA glycosylase,EJCKHNBG_00079,NMOBLELM_00079,AMKJIMAI_00080,JCHOPBNJ_00080,FMHLFHII_00080
group_49,,hypothetical protein,EJCKHNBG_00028,NMOBLELM_00028,AMKJIMAI_00029,JCHOPBNJ_00029,FMHLFHII_00029
group_48,,Late transcription elongation factor G2,EJCKHNBG_00050,NMOBLELM_00050,AMKJIMAI_00051,JCHOPBNJ_00051,FMHLFHII_00051
group_47,,Late transcription elongation factor H5,EJCKHNBG_00073,NMOBLELM_00073,AMKJIMAI_00074,JCHOPBNJ_00074,FMHLFHII_00074
PSHR,PS/HR,Protein B5,EJCKHNBG_00138,NMOBLELM_00138,AMKJIMAI_00139,JCHOPBNJ_00139,FMHLFHII_00139
VLTF3,VLTF3,Viral late gene transcription factor 3,EJCKHNBG_00089,NMOBLELM_00089,AMKJIMAI_00090,JCHOPBNJ_00090,FMHLFHII_00090
group_46,,hypothetical protein,EJCKHNBG_00003,NMOBLELM_00003,AMKJIMAI_00003,JCHOPBNJ_00003,FMHLFHII_00003
group_45,,27 kDa core protein,EJCKHNBG_00078,NMOBLELM_00078,AMKJIMAI_00079,JCHOPBNJ_00079,FMHLFHII_00079
L1R,L1R,Protein L1,EJCKHNBG_00058,NMOBLELM_00058,AMKJIMAI_00059,JCHOPBNJ_00059,FMHLFHII_00059
group_44,,mRNA-decapping protein D10,EJCKHNBG_00084,NMOBLELM_00084,AMKJIMAI_00085,JCHOPBNJ_00085,FMHLFHII_00085
L4R,L4R,Core protein VP8,EJCKHNBG_00061,NMOBLELM_00061,AMKJIMAI_00062,JCHOPBNJ_00062,FMHLFHII_00062
group_43,,Protein A32,EJCKHNBG_00118,NMOBLELM_00118,AMKJIMAI_00119,JCHOPBNJ_00119,FMHLFHII_00119
VLTF1,VLTF1,Late transcription factor 1,EJCKHNBG_00056,NMOBLELM_00056,AMKJIMAI_00057,JCHOPBNJ_00057,FMHLFHII_00057
group_42,,Protein E8,EJCKHNBG_00036,NMOBLELM_00036,AMKJIMAI_00037,JCHOPBNJ_00037,FMHLFHII_00037
group_41,,hypothetical protein,EJCKHNBG_00124,NMOBLELM_00124,AMKJIMAI_00125,JCHOPBNJ_00125,FMHLFHII_00125
I3L,I3L,Protein I3,EJCKHNBG_00043,NMOBLELM_00043,AMKJIMAI_00044,JCHOPBNJ_00044,FMHLFHII_00044
group_40,,mRNA-capping enzyme regulatory subunit,EJCKHNBG_00086,NMOBLELM_00086,AMKJIMAI_00087,JCHOPBNJ_00087,FMHLFHII_00087
group_39,,hypothetical protein,EJCKHNBG_00122,NMOBLELM_00122,AMKJIMAI_00123,JCHOPBNJ_00123,FMHLFHII_00123
VITF3S,VITF3S,Intermediate transcription factor 3 small subunit,EJCKHNBG_00096,NMOBLELM_00096,AMKJIMAI_00097,JCHOPBNJ_00097,FMHLFHII_00097
group_38,,hypothetical protein,EJCKHNBG_00140,NMOBLELM_00140,AMKJIMAI_00141,JCHOPBNJ_00141,FMHLFHII_00141
group_37,,hypothetical protein,EJCKHNBG_00023,NMOBLELM_00023,AMKJIMAI_00024,JCHOPBNJ_00024,FMHLFHII_00024
group_36,,DNA-directed RNA polymerase 35 kDa subunit,EJCKHNBG_00115,NMOBLELM_00115,AMKJIMAI_00116,JCHOPBNJ_00116,FMHLFHII_00116
VPK1,VPK1,B1 kinase,EJCKHNBG_00136,NMOBLELM_00136,AMKJIMAI_00137,JCHOPBNJ_00137,FMHLFHII_00137
group_35,,Telomere-binding protein I1,EJCKHNBG_00041,NMOBLELM_00041,AMKJIMAI_00042,JCHOPBNJ_00042,FMHLFHII_00042
group_34,,Protein A11,EJCKHNBG_00099,NMOBLELM_00099,AMKJIMAI_00100,JCHOPBNJ_00100,FMHLFHII_00100
TOP1,TOP1,DNA topoisomerase 1B,EJCKHNBG_00074,NMOBLELM_00074,AMKJIMAI_00075,JCHOPBNJ_00075,FMHLFHII_00075
group_33,,Protein L3,EJCKHNBG_00060,NMOBLELM_00060,AMKJIMAI_00061,JCHOPBNJ_00061,FMHLFHII_00061
F4L,F4L,Ribonucleoside-diphosphate reductase small chain,EJCKHNBG_00017,NMOBLELM_00017,AMKJIMAI_00018,JCHOPBNJ_00018,FMHLFHII_00018
H3L,H3L,Envelope protein H3,EJCKHNBG_00071,NMOBLELM_00071,AMKJIMAI_00072,JCHOPBNJ_00072,FMHLFHII_00072
PAPS,PAPS,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase,EJCKHNBG_00066,NMOBLELM_00066,AMKJIMAI_00067,JCHOPBNJ_00067,FMHLFHII_00067
group_32,,hypothetical protein,EJCKHNBG_00134,NMOBLELM_00134,AMKJIMAI_00135,JCHOPBNJ_00135,FMHLFHII_00135
group_31,,Myristoylated protein G9,EJCKHNBG_00057,NMOBLELM_00057,AMKJIMAI_00058,JCHOPBNJ_00058,FMHLFHII_00058
SERP2,SERP2,Serine proteinase inhibitor 2,EJCKHNBG_00146,NMOBLELM_00146,AMKJIMAI_00147,JCHOPBNJ_00147,FMHLFHII_00147
group_30,,hypothetical protein,EJCKHNBG_00010,NMOBLELM_00010,AMKJIMAI_00010,JCHOPBNJ_00010,FMHLFHII_00010
group_29,,hypothetical protein,EJCKHNBG_00004,NMOBLELM_00004,AMKJIMAI_00004,JCHOPBNJ_00004,FMHLFHII_00004
group_28,,Soluble interferon alpha/beta receptor B18,EJCKHNBG_00132,NMOBLELM_00132,AMKJIMAI_00133,JCHOPBNJ_00133,FMHLFHII_00133
group_27,,Envelope phospholipase F13,EJCKHNBG_00025,NMOBLELM_00025,AMKJIMAI_00026,JCHOPBNJ_00026,FMHLFHII_00026
group_26,,Assembly protein G7,EJCKHNBG_00055,NMOBLELM_00055,AMKJIMAI_00056,JCHOPBNJ_00056,FMHLFHII_00056
A6L,A6L,Protein A6,EJCKHNBG_00094,NMOBLELM_00094,AMKJIMAI_00095,JCHOPBNJ_00095,FMHLFHII_00095
group_25,,hypothetical protein,EJCKHNBG_00034,NMOBLELM_00034,AMKJIMAI_00035,JCHOPBNJ_00035,FMHLFHII_00035
group_24,,Virion membrane protein A16,EJCKHNBG_00104,NMOBLELM_00104,AMKJIMAI_00105,JCHOPBNJ_00105,FMHLFHII_00105
group_23,,hypothetical protein,EJCKHNBG_00008,NMOBLELM_00008,AMKJIMAI_00008,JCHOPBNJ_00008,FMHLFHII_00008
VITF3L,VITF3L,Intermediate transcription factor 3 large subunit,EJCKHNBG_00111,NMOBLELM_00111,AMKJIMAI_00112,JCHOPBNJ_00112,FMHLFHII_00112
group_22,,Telomere-binding protein I6,EJCKHNBG_00045,NMOBLELM_00045,AMKJIMAI_00046,JCHOPBNJ_00046,FMHLFHII_00046
group_21,,Envelope phospholipase F13,EJCKHNBG_00143,NMOBLELM_00143,AMKJIMAI_00144,JCHOPBNJ_00144,FMHLFHII_00144
group_20,,DNA polymerase processivity factor component A20,EJCKHNBG_00109,NMOBLELM_00109,AMKJIMAI_00110,JCHOPBNJ_00110,FMHLFHII_00110
group_19,,Core protease I7,EJCKHNBG_00046,NMOBLELM_00046,AMKJIMAI_00047,JCHOPBNJ_00047,FMHLFHII_00047
G5R,G5R,Putative nuclease G5,EJCKHNBG_00052,NMOBLELM_00052,AMKJIMAI_00053,JCHOPBNJ_00053,FMHLFHII_00053
group_18,,Ankyrin repeat domain-containing protein M-T5,EJCKHNBG_00145,NMOBLELM_00145,AMKJIMAI_00146,JCHOPBNJ_00146,FMHLFHII_00146
VPK2,VPK2,Serine/threonine-protein kinase 2,EJCKHNBG_00022,NMOBLELM_00022,AMKJIMAI_00023,JCHOPBNJ_00023,FMHLFHII_00023
PAPL,PAPL,Poly(A) polymerase catalytic subunit,EJCKHNBG_00030,NMOBLELM_00030,AMKJIMAI_00031,JCHOPBNJ_00031,FMHLFHII_00031
group_17,,Transcript termination protein A18,EJCKHNBG_00106,NMOBLELM_00106,AMKJIMAI_00107,JCHOPBNJ_00107,FMHLFHII_00107
group_16,,Ankyrin repeat domain-containing protein M-T5,EJCKHNBG_00149,NMOBLELM_00149,AMKJIMAI_00150,JCHOPBNJ_00150,FMHLFHII_00150
group_15,,Ankyrin repeat domain-containing protein M-T5,EJCKHNBG_00144,NMOBLELM_00144,AMKJIMAI_00145,JCHOPBNJ_00145,FMHLFHII_00145
group_14,,Scaffold protein D13,EJCKHNBG_00087,NMOBLELM_00087,AMKJIMAI_00088,JCHOPBNJ_00088,FMHLFHII_00088
KBTB1_1,KBTB1_1,Kelch repeat and BTB domain-containing protein A55,EJCKHNBG_00141,NMOBLELM_00141,AMKJIMAI_00142,JCHOPBNJ_00142,FMHLFHII_00142
KBTB1_2,KBTB1_2,Kelch repeat and BTB domain-containing protein A55,EJCKHNBG_00148,NMOBLELM_00148,AMKJIMAI_00149,JCHOPBNJ_00149,FMHLFHII_00149
LIG,LIG,DNA ligase,EJCKHNBG_00130,NMOBLELM_00130,AMKJIMAI_00131,JCHOPBNJ_00131,FMHLFHII_00131
group_13,,Protein E6,EJCKHNBG_00035,NMOBLELM_00035,AMKJIMAI_00036,JCHOPBNJ_00036,FMHLFHII_00036
group_12,,Metalloendopeptidase G1,EJCKHNBG_00048,NMOBLELM_00048,AMKJIMAI_00049,JCHOPBNJ_00049,FMHLFHII_00049
group_11,,hypothetical protein,EJCKHNBG_00142,NMOBLELM_00142,AMKJIMAI_00143,JCHOPBNJ_00143,FMHLFHII_00143
NPH1,NPH1,Nucleoside triphosphatase I,EJCKHNBG_00085,NMOBLELM_00085,AMKJIMAI_00086,JCHOPBNJ_00086,FMHLFHII_00086
VETFS,VETFS,Early transcription factor 70 kDa subunit,EJCKHNBG_00081,NMOBLELM_00081,AMKJIMAI_00082,JCHOPBNJ_00082,FMHLFHII_00082
group_10,,Protein F12,EJCKHNBG_00024,NMOBLELM_00024,AMKJIMAI_00025,JCHOPBNJ_00025,FMHLFHII_00025
group_9,,Major core protein 4b,EJCKHNBG_00091,NMOBLELM_00091,AMKJIMAI_00092,JCHOPBNJ_00092,FMHLFHII_00092
NPH2,NPH2,RNA helicase NPH-II,EJCKHNBG_00047,NMOBLELM_00047,AMKJIMAI_00048,JCHOPBNJ_00048,FMHLFHII_00048
group_8,,hypothetical protein,EJCKHNBG_00040,NMOBLELM_00040,AMKJIMAI_00041,JCHOPBNJ_00041,FMHLFHII_00041
VETFL,VETFL,Early transcription factor 82 kDa subunit,EJCKHNBG_00095,NMOBLELM_00095,AMKJIMAI_00096,JCHOPBNJ_00096,FMHLFHII_00096
group_7,,Protein E2,EJCKHNBG_00031,NMOBLELM_00031,AMKJIMAI_00032,JCHOPBNJ_00032,FMHLFHII_00032
group_6,,Primase D5,EJCKHNBG_00080,NMOBLELM_00080,AMKJIMAI_00081,JCHOPBNJ_00081,FMHLFHII_00081
group_5,,RNA polymerase-associated transcription-specificity factor RAP94,EJCKHNBG_00072,NMOBLELM_00072,AMKJIMAI_00073,JCHOPBNJ_00073,FMHLFHII_00073
group_4,,mRNA-capping enzyme catalytic subunit,EJCKHNBG_00076,NMOBLELM_00076,AMKJIMAI_00077,JCHOPBNJ_00077,FMHLFHII_00077
group_3,,Major core protein 4a precursor,EJCKHNBG_00098,NMOBLELM_00098,AMKJIMAI_00099,JCHOPBNJ_00099,FMHLFHII_00099
POL,POL,DNA polymerase,EJCKHNBG_00037,NMOBLELM_00037,AMKJIMAI_00038,JCHOPBNJ_00038,FMHLFHII_00038
group_2,,DNA-directed RNA polymerase 133 kDa polypeptide,EJCKHNBG_00112,NMOBLELM_00112,AMKJIMAI_00113,JCHOPBNJ_00113,FMHLFHII_00113
group_1,,hypothetical protein,EJCKHNBG_00068,NMOBLELM_00068,AMKJIMAI_00069,JCHOPBNJ_00069,FMHLFHII_00069
group_0,,hypothetical protein,EJCKHNBG_00131,NMOBLELM_00131,AMKJIMAI_00132,JCHOPBNJ_00132,FMHLFHII_00132
