locus_tag	ftype	length_bp	gene	EC_number	COG	product
ABACBCNL_00117	CDS	594				Protein A33
ABACBCNL_00118	CDS	516				Protein A34
ABACBCNL_00119	CDS	576				Protein A35
ABACBCNL_00120	CDS	867				hypothetical protein
ABACBCNL_00121	CDS	519				hypothetical protein
ABACBCNL_00122	CDS	822				hypothetical protein
ABACBCNL_00123	CDS	903				hypothetical protein
ABACBCNL_00124	CDS	351				hypothetical protein
ABACBCNL_00125	CDS	246				hypothetical protein
ABACBCNL_00126	CDS	486				hypothetical protein
ABACBCNL_00127	CDS	135				hypothetical protein
ABACBCNL_00128	CDS	1674	LIG	6.5.1.1		DNA ligase
ABACBCNL_00129	CDS	6024				hypothetical protein
ABACBCNL_00130	CDS	1083				Soluble interferon alpha/beta receptor B18
ABACBCNL_00131	CDS	393				hypothetical protein
ABACBCNL_00132	CDS	1008				hypothetical protein
ABACBCNL_00133	CDS	561				hypothetical protein
ABACBCNL_00134	CDS	918	VPK1	2.7.11.1		B1 kinase
ABACBCNL_00135	CDS	723				hypothetical protein
ABACBCNL_00136	CDS	678				hypothetical protein
ABACBCNL_00137	CDS	408				hypothetical protein
ABACBCNL_00138	CDS	909				hypothetical protein
ABACBCNL_00139	CDS	1644	KBTB1_1			Kelch repeat and BTB domain-containing protein A55
ABACBCNL_00140	CDS	1926				hypothetical protein
ABACBCNL_00141	CDS	1239		3.1.1.-		Envelope phospholipase F13
ABACBCNL_00142	CDS	1497				Ankyrin repeat domain-containing protein M-T5
ABACBCNL_00143	CDS	1344				Ankyrin repeat domain-containing protein M-T5
ABACBCNL_00144	CDS	1014	SERP2			Serine proteinase inhibitor 2
ABACBCNL_00145	CDS	486				hypothetical protein
ABACBCNL_00146	CDS	1659	KBTB1_2			Kelch repeat and BTB domain-containing protein A55
ABACBCNL_00147	CDS	1362				Ankyrin repeat domain-containing protein M-T5
ABACBCNL_00148	CDS	723				hypothetical protein
